n'; m'; ils;
20;41.8;0.80
40;70.8;3.04
60;95.0;6.84
80;119.8;9.84
100;144.0;14.08
120;168.8;18.56
140;193.0;22.20
160;217.8;26.48
180;242.0;30.36
200;266.8;34.16
250;321.0;46.80
300;380.0;59.36
350;434.8;71.16
400;489.0;84.56
450;548.0;96.16
500;602.8;110.20
600;711.8;157.64
700;820.8;186.60
800;929.8;215.64
900;1034.0;247.36
1000;1143.0;277.80
