n'; m'; Const-ILS; Const-ILSD; R-BEP
20;41.8;1.24;1.20;0.84
40;70.8;4.32;4.08;3.20
60;95.0;9.44;9.12;7.20
80;119.8;13.48;12.80;10.20
100;144.0;18.96;18.44;14.80
120;168.8;23.92;23.44;19.08
140;193.0;29.12;27.80;22.96
160;217.8;34.56;33.40;27.20
180;242.0;39.52;37.88;31.20
200;266.8;44.48;42.80;35.16
250;321.0;58.08;57.04;47.68
300;380.0;74.60;72.08;60.40
350;434.8;87.12;84.92;72.16
400;489.0;102.64;99.60;86.04
450;548.0;116.88;113.76;97.44
500;602.8;131.88;129.36;111.12
